bin_name,slice,cluster_id,sct_ncount
bin-2169,58,1,1
bin-2170,58,1,1
bin-2171,58,1,1
bin-2172,58,1,1
bin-2173,58,1,1
bin-2174,58,1,1
bin-2175,58,0,0
bin-2176,58,1,1
bin-2177,58,1,1
bin-2178,58,1,1
bin-2179,58,1,1
bin-2180,58,1,1
bin-2181,58,16,16
bin-2213,58,8,8
bin-2214,58,1,1
bin-2215,58,1,1
bin-2216,58,1,1
bin-2217,58,1,1
bin-2218,58,1,1
bin-2219,58,1,1
bin-2220,58,1,1
bin-2221,58,1,1
bin-2222,58,1,1
bin-2223,58,4,4
bin-2224,58,4,4
bin-2225,58,1,1
bin-2226,58,1,1
bin-2227,58,1,1
bin-2228,58,1,1
bin-2229,58,1,1
bin-2230,58,1,1
bin-2263,58,21,21
bin-2264,58,1,1
bin-2265,58,1,1
bin-2266,58,1,1
bin-2267,58,1,1
bin-2268,58,1,1
bin-2269,58,2,2
bin-2270,58,1,1
bin-2271,58,1,1
bin-2272,58,1,1
bin-2273,58,1,1
bin-2274,58,1,1
bin-2275,58,4,4
bin-2276,58,1,1
bin-2277,58,1,1
bin-2278,58,1,1
bin-2279,58,1,1
bin-2312,58,29,29
bin-2313,58,1,1
bin-2314,58,1,1
bin-2315,58,5,5
bin-2316,58,1,1
bin-2317,58,1,1
bin-2318,58,1,1
bin-2319,58,29,29
bin-2320,58,1,1
bin-2321,58,1,1
bin-2322,58,1,1
bin-2323,58,1,1
bin-2324,58,1,1
bin-2325,58,1,1
bin-2326,58,1,1
bin-2327,58,1,1
bin-2328,58,5,5
bin-2362,58,6,6
bin-2363,58,1,1
bin-2364,58,0,0
bin-2365,58,1,1
bin-2366,58,1,1
bin-2367,58,1,1
bin-2368,58,1,1
bin-2369,58,1,1
bin-2370,58,1,1
bin-2371,58,1,1
bin-2372,58,1,1
bin-2373,58,1,1
bin-2374,58,1,1
bin-2375,58,33,33
bin-2376,58,21,21
bin-2377,58,1,1
bin-2413,58,6,6
bin-2414,58,18,18
bin-2415,58,1,1
bin-2416,58,1,1
bin-2417,58,4,4
bin-2418,58,1,1
bin-2419,58,1,1
bin-2420,58,1,1
bin-2421,58,1,1
bin-2422,58,1,1
bin-2423,58,1,1
bin-2424,58,5,5
